date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:08%20GMT	https://maxcoach.thememove.com/main/course-portal	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/course-portal	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:09%20GMT	https://maxcoach.thememove.com/main/distant-learning	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/distant-learning	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:09	195789/195789	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:09%20GMT	https://maxcoach.thememove.com/main/category/business/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/category/business/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:09%20GMT	https://maxcoach.thememove.com/main/multimedia-pedagogy	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/multimedia-pedagogy	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:10	205950/205950	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:09%20GMT	https://maxcoach.thememove.com/main/10-things-successful-mompreneurs-do-different/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/10-things-successful-mompreneurs-do-different/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:10%20GMT	https://maxcoach.thememove.com/main/modern-schooling	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/modern-schooling	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:10%20GMT	https://maxcoach.thememove.com/main/remote-training	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/remote-training	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:10%20GMT	https://maxcoach.thememove.com/main/health-coaching	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/health-coaching	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:11%20GMT	https://maxcoach.thememove.com/main/gym-coaching	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/gym-coaching	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:11%20GMT	https://maxcoach.thememove.com/main/business	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/business	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:12%20GMT	https://maxcoach.thememove.com/main/kitchen-coach	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/kitchen-coach	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:12%20GMT	https://maxcoach.thememove.com/main/artist	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/artist	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:13%20GMT	https://maxcoach.thememove.com/main/motivation	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/motivation	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:13%20GMT	https://maxcoach.thememove.com/main/yoga	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/yoga	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:13%20GMT	https://maxcoach.thememove.com/main/photography	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/photography	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:14%20GMT	https://maxcoach.thememove.com/main/personal-finance	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/personal-finance	(from https://maxcoach.thememove.com/main/course-portal/)
